title,brand,price/currency,price/value,stars,reviewsCount,StarsCategory
CARFIA Retro Polarized Sunglasses for Men UV Protection Hand-crafted Acetate Frame Fashion Cool Sun Glasses 53572,CARFIA,$,25.99,4.5,707.0,2
JIM HALO Retro Polarized Sunglasses Men Women Flat Top Square UV400 Glasses for Driving Fishing Hiking Golfing,JIM HALO,$,20.997259999999997,4.4,2885.0,2
Knockaround Torrey Pines Polarized Sunglasses for Men & Women - Impact Resistant Lenses & Full UV400 Protection,Knockaround,$,20.997259999999997,4.5,546.0,2
EYLRIM Thick Square Frame Sunglasses for Women Men Fashion Chunky Rectangle Sun Glasses Black Shades,EYLRIM,$,20.997259999999997,4.5,146.0,2
SUNGAIT Men's Polarized Square Aviator Sunglasses Durable Metal Frame for Fishing Driving Golf 100% UV Protection,SUNGAIT,$,20.997259999999997,4.5,4286.0,2
"Ray-Ban Man Sunglasses Black Frame, Green Lenses, 54MM",Ray-Ban,$,0.007,4.5,352.0,2
LINVO Polarized Sunglasses for Men Women Semi-Rimless Retro Driving Sun Glasses 100% UV400,LINVO,$,16.98,4.5,1507.0,2
Oakley Men's Oo9239 Crankshaft Rectangular Sunglasses,Oakley,$,20.997259999999997,4.6,4962.0,2
Elite Slim Rimless Rectangular Metal & Wood Art Aviator Sunglasses,FLAWLESS EYEWEAR,$,20.997259999999997,4.4,2431.0,2
SOJOS Retro Aviator Polarized Sunglasses Womens Mens Vintage Square 70s Shades Classic Sun Glasses UV400 SJ2222,SOJOS,$,13.99,4.3,51.0,1
Bnus corning glass lens polarized sunglasses for men & Women italy made w. High Performance Plastic Lens option,B.N.U.S,$,20.997259999999997,4.3,3590.0,1
Bio-th Polarized Aviator Sunglasses for Women Men UV Protection Metal Mirror Frame,Bio-th,$,20.997259999999997,4.4,1820.0,2
FEISEDY Vintage Square 70s Flat Aviator Sunglasses Women Men Metal Design Shades B2752,FEISEDY,$,16.99,4.3,615.0,1
Frienda 6 Pack Polarized Sport Sunglasses for Men Multipack Fit over Sunglasses Set Mens Sport Fishing Sunglasses,Frienda,$,18.99,4.2,1110.0,1
POLARKING 2 PACK Polarized Sport Sunglasses for Men Matte Finish Sun glasses Mirror Lens UV Blocking,POLARKING,$,18.99,4.5,183.0,2
YIMI Polarized Photochromic Outdoor Sports Driving Sunglasses for Men Women AntiGlareEyewear Ultra-Light Sun Glasses,YIMI,$,20.997259999999997,3.8,4718.0,0
SOJOS Trendy Aviator Sunglasses Mens Womens Retro Metal Rimless Frame Shades Lentes De Sol Para Mujer SJ1192,SOJOS,$,14.99,4.7,676.0,2
DEAFRAIN Polarized Sports Sunglasses for Men Women Driving Fishing Cycling Running UV Protection,DEAFRAIN,$,20.997259999999997,4.4,2280.0,2
"Ray-Ban Man Sunglasses Havana Frame, Dark Brown Lenses, 57MM",Ray-Ban,$,78.0,4.3,807.0,1
KALIYADI Sunglasses Men Polarized Sun glasses for Mens Womens Classic Matte Black Frame UV Protection 3pack,KALIYADI,$,20.997259999999997,4.6,1116.0,2
Oversized Sunglasses Super Lens Thick Rim Frame,Locs,$,8.5,4.5,2104.0,2
EYLRIM Thick Square Frame Sunglasses for Women Men Chunky Rectangle Polarized Sunglasses UV400 Protection,EYLRIM,$,12.99,4.3,860.0,1
Calvin Klein Men's Ck19316s Aviator Sunglasses,Calvin Klein,$,20.997259999999997,4.3,75.0,1
Costa Del Mar Men's Rincon Fishing and Watersports Rectangular Sunglasses,Costa Del Mar,$,0.007,4.6,3334.0,2
Carrera Men's Ca133/S Pilot Sunglasses,Carrera,$,40.0,4.6,1218.0,2
"Calvin Klein CK19314S Aviator Sunglasses, Black/Black/Grey, 60 mm",Calvin Klein,$,20.997259999999997,4.6,90.0,2
JULI Polarized Sports Sunglasses for Men Women Tr90 Unbreakable Frame for Running Fishing Baseball Driving MJ8002,JULI Eyewear,$,16.99,4.5,2563.0,2
Ray-Ban Men's Rb3516 Metal Square Sunglasses,Ray-Ban,$,20.997259999999997,4.6,1062.0,2
ROCKBROS Photochromic Sunglasses for Men Cycling Sunglasses Sports Bike Glasses,ROCKBROS,$,23.81,4.3,2035.0,1
"Ray-Ban Man Sunglasses Black Frame, Green Lenses, 60MM",Ray-Ban,$,20.997259999999997,4.5,1288.0,2
